address,sqr,price,type,dir,renttype
瞿西新村,32.58,6200.0,1室0厅,南,整租
制造局后街24-28号,42.91,7500.0,2室0厅,东/西,整租
桥蒙小区,35.95,5300.0,1室1厅,南,整租
合肥路343号,46.10,9000.0,2室1厅,南,整租
新家坡园景苑,118.00,16800.0,3室2厅,南,整租
悦来小区,46.61,7000.0,1室1厅,南,整租
淡水湾花园,166.41,33800.0,3室2厅,南,整租
海上梦苑,117.48,17000.0,2室2厅,南,整租
通达大厦,95.25,13000.0,2室2厅,南,整租
玉兰小区,41.90,6500.0,1室1厅,南,整租
斜桥新村,26.73,5600.0,1室0厅,西,整租
淮海中路584弄,62.00,13000.0,2室2厅,南,整租
中福花苑,56.99,7800.0,1室1厅,跃层,整租
威海路163-169号,73.13,9600.0,2室1厅,南,整租
东物公寓,79.75,11000.0,2室2厅,南,整租
巴士小区,31.67,7500.0,1室1厅,南,整租
东淮海公寓,141.59,19000.0,3室2厅,南,整租
祥康里,12.20,3000.0,1室0厅,南,整租
中福花苑,42.46,7200.0,1室2厅,北,整租
士林华苑,90.12,13500.0,1室2厅,南,整租
日月光中心伯爵居,73.00,12500.0,1室2厅,西/西北,整租
铁道路776弄,63.73,9800.0,3室1厅,南,整租
北蒙三小区,45.80,7300.0,1室1厅,南,整租
复兴南苑,129.42,18900.0,2室2厅,南,整租
金中苑,79.71,11000.0,2室1厅,东南,整租
重建小区,50.05,8000.0,2室1厅,南/北,整租
西凌新邨,52.14,7200.0,1室1厅,南,整租
阳光里(黄浦),140.56,18500.0,3室2厅,南/西,整租
中福世福汇,62.86,13000.0,1室1厅,西,整租
中福花苑,44.62,7800.0,1室1厅,南,整租
滨江名人苑,101.10,16500.0,2室2厅,南,整租
瞿溪路830弄,34.02,6500.0,1室0厅,南,整租
中福浦江汇,110.48,18800.0,3室1厅,南,整租
淮海坊,50.00,11000.0,2室1厅,南,整租
复兴珑御一期,197.00,60000.0,3室2厅,南,整租
城市一品苑,156.38,33900.0,3室1厅,南,整租
复兴珑御一期,231.52,65000.0,4室2厅,南/北,整租
铁道路776弄,35.00,4500.0,1室0厅,南,整租
光启路103弄,23.00,3800.0,1室0厅,南,整租
华润外滩九里,188.21,33000.0,3室2厅,南,整租
翠湖天地五期,368.11,190000.0,4室2厅,南,整租
老西门新苑,84.33,13800.0,1室2厅,南,整租
面筋小区,37.94,6500.0,1室1厅,南,整租
黄浦众鑫城,148.41,29800.0,3室2厅,南,整租
中福花苑,42.46,7600.0,1室1厅,复式,整租
紫荆新苑,73.00,9500.0,2室1厅,南/北,整租
