address,info,price,rtype,sqr,dir,dec,heights,built,btype,price_per_sqr
瑞雪大楼 ,1室1厅 | 38.91平米 | 南 | 精装 | 17层 | 1991年建 | 塔楼,5500000.0,1室1厅 , 38.91平米 , 南 , 精装 , 17层 , 1991年建 , 塔楼,141352
华润外滩九里 ,4室2厅 | 307.53平米 | 东 南 北 | 精装 | 24层 | 2011年建 | 板楼,62800000.0,4室2厅 , 307.53平米 , 东 南 北 , 精装 , 24层 , 2011年建 , 板楼,204208
海琪园 ,3室2厅 | 168.75平米 | 东南 | 精装 | 30层 | 2003年建 | 板楼,24200000.0,3室2厅 , 168.75平米 , 东南 , 精装 , 30层 , 2003年建 , 板楼,143408
南陆大厦 ,1室1厅 | 53.68平米 | 东 | 简装 | 中楼层(共25层) | 1994年建 | 塔楼,5100000.0,1室1厅 , 53.68平米 , 东 , 简装 , 中楼层(共25层) , 1994年建 , 塔楼,95008
上海滩新昌城 ,5室2厅 | 197.84平米 | 南 | 精装 | 中楼层(共31层) | 2006年建 | 板楼,29800000.0,5室2厅 , 197.84平米 , 南 , 精装 , 中楼层(共31层) , 2006年建 , 板楼,150627
步高苑 ,4室3厅 | 225.9平米 | 南 北 | 精装 | 中楼层(共28层) | 2002年建 | 板楼,30500000.0,4室3厅 , 225.9平米 , 南 北 , 精装 , 中楼层(共28层) , 2002年建 , 板楼,135016
老西门新苑 ,3室2厅 | 151.32平米 | 南 | 精装 | 低楼层(共34层) | 2006年建 | 板楼,21500000.0,3室2厅 , 151.32平米 , 南 , 精装 , 低楼层(共34层) , 2006年建 , 板楼,142084
黄浦新苑东区 ,3室2厅 | 158.11平米 | 南 | 精装 | 高楼层(共25层) | 2007年建 | 板楼,21500000.0,3室2厅 , 158.11平米 , 南 , 精装 , 高楼层(共25层) , 2007年建 , 板楼,135982
滨江名人苑 ,5室3厅 | 300.04平米 | 南 | 精装 | 32层 | 2004年建 | 板楼,36800000.0,5室3厅 , 300.04平米 , 南 , 精装 , 32层 , 2004年建 , 板楼,122651
蒙西小区 ,1室0厅 | 37.06平米 | 西 北 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,3690000.0,1室0厅 , 37.06平米 , 西 北 , 简装 , 高楼层(共6层) , 1987年建 , 板楼,99569
上海滩新昌城 ,5室2厅 | 197.84平米 | 南 北 | 精装 | 高楼层(共31层) | 2006年建 | 板楼,31000000.0,5室2厅 , 197.84平米 , 南 北 , 精装 , 高楼层(共31层) , 2006年建 , 板楼,156693
万宜坊 ,5室2厅 | 193.23平米 | 南 | 精装 | 1层 | 1929年建 | 板楼,38500000.0,5室2厅 , 193.23平米 , 南 , 精装 , 1层 , 1929年建 , 板楼,199245
上海滩新昌城 ,3室2厅 | 154.97平米 | 南 北 | 精装 | 低楼层(共31层) | 2006年建 | 板楼,23300000.0,3室2厅 , 154.97平米 , 南 北 , 精装 , 低楼层(共31层) , 2006年建 , 板楼,150352
浦江公馆 ,3室2厅 | 183.25平米 | 南 北 | 精装 | 26层 | 2010年建 | 板楼,30500000.0,3室2厅 , 183.25平米 , 南 北 , 精装 , 26层 , 2010年建 , 板楼,166440
锦麟天地雅苑 ,3室2厅 | 277.28平米 | 南 北 | 精装 | 中楼层(共29层) | 2005年建 | 板楼,73500000.0,3室2厅 , 277.28平米 , 南 北 , 精装 , 中楼层(共29层) , 2005年建 , 板楼,265076
老西门新苑 ,3室2厅 | 151.32平米 | 南 | 精装 | 高楼层(共34层) | 2006年建 | 板楼,21000000.0,3室2厅 , 151.32平米 , 南 , 精装 , 高楼层(共34层) , 2006年建 , 板楼,138779
翠湖天地御苑 ,4室2厅 | 322.17平米 | 南 北 | 精装 | 中楼层(共14层) | 2006年建 | 板楼,85000000.0,4室2厅 , 322.17平米 , 南 北 , 精装 , 中楼层(共14层) , 2006年建 , 板楼,263836
融创滨江壹号院 ,4室2厅 | 218.91平米 | 南 | 精装 | 高楼层(共38层) | 2012年建 | 板楼,35000000.0,4室2厅 , 218.91平米 , 南 , 精装 , 高楼层(共38层) , 2012年建 , 板楼,159884
金外滩花园 ,3室2厅 | 175.18平米 | 南 | 精装 | 32层 | 2006年建 | 板楼,27000000.0,3室2厅 , 175.18平米 , 南 , 精装 , 32层 , 2006年建 , 板楼,154128
华润外滩九里 ,4室2厅 | 246.8平米 | 南 北 | 精装 | 13层 | 2011年建 | 板楼,48000000.0,4室2厅 , 246.8平米 , 南 北 , 精装 , 13层 , 2011年建 , 板楼,194490
宏泰公寓 ,3室2厅 | 151.04平米 | 南 东 | 精装 | 高楼层(共33层) | 2000年建 | 塔楼,16300000.0,3室2厅 , 151.04平米 , 南 东 , 精装 , 高楼层(共33层) , 2000年建 , 塔楼,107919
